id,peta_acuan,pr_permukiman,pr_perkantoan,pr_pendidikan,pr_ofm,pr_transport_umum,pr_taman,pr_hotel,pr_pasar_mall,pr_kesehatan,usia,jk,status_menikah,pendidikan,jml_motor,jml_mobil,jml_sepeda,jml_kendaraan_pribadi,jml_anggota_rt,posisi_rt,penghasilan_pribadi,penghasilan_keluarga,pekerjaan_selain,jam_online,status_kepemilikan,lama_driver,ojek_konvensional
82,5,Sangat penting,Penting,Sangat penting,Penting,Penting,Penting,Penting,Penting,Penting,40,Laki-laki,Menikah,Diploma,1,0,-,1,4,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,6-8 jam,Pribadi,5-7 tahun,Tidak
83,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,36,Laki-laki,Belum Menikah,SMA/SMK,1,0,0,1,1,Kepala rumah tangga,Di bawah Rp1.000.000,Di bawah Rp1.000.000,Tidak ada,6-8 jam,Pribadi,5-7 tahun,Ya
84,1,Sangat tidak penting,Sangat tidak penting,Sangat tidak penting,Sangat penting,Sangat tidak penting,Sangat tidak penting,Sangat tidak penting,Sangat penting,Sangat tidak penting,33,Laki-laki,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
85,4,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Penting,Sangat penting,Sangat penting,Sangat penting,31,Laki-laki,Menikah,Sarjana,1,0,0,1,4,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp5.000.000-Rp5.999.999,Wirausahawan,6-8 jam,Pribadi,3-5 tahun,Tidak
86,5,Sangat penting,Penting,Penting,Sangat penting,Penting,Tidak penting,Tidak penting,Sangat penting,Penting,48,Laki-laki,Menikah,SMA/SMK,2,0,0,2,3,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
87,1,Tidak penting,Tidak penting,Tidak penting,Sangat tidak penting,Sangat penting,Tidak penting,Tidak penting,Tidak penting,Tidak penting,50,Laki-laki,Cerai,Sarjana,1,0,0,1,2,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Tidak
88,3,Penting,Penting,Sangat penting,Netral,Netral,Sangat tidak penting,Penting,Penting,Penting,32,Laki-laki,Menikah,SMA/SMK,1,0,0,1,7,Anak,Rp3.000.000-Rp3.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,Di atas 10 jam,Pribadi,Di bawah 1 tahun,Tidak
89,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,33,Laki-laki,Menikah,SMA/SMK,1,0,1,2,3,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp7.000.000-Rp7.999.999,Karyawan Swasta (Part-time),6-8 jam,Pribadi,3-5 tahun,Tidak
90,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,30,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,Di atas 10 jam,Sewa,1-3 tahun,Tidak
91,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,38,Laki-laki,Menikah,SMA/SMK,2,0,0,2,6,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,Di atas 10 jam,Sewa,5-7 tahun,Tidak
92,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,32,Laki-laki,Cerai,SMA/SMK,1,0,0,1,8,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Karyawan Swasta (Part-time),8-10 jam,Pribadi,3-5 tahun,Tidak
93,4,Netral,Netral,Sangat penting,Sangat penting,Sangat penting,Penting,Penting,Sangat penting,Tidak penting,68,Laki-laki,Menikah,SMA/SMK,1,0,2,3,3,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Ya
94,5,Tidak penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Tidak penting,Netral,Sangat penting,Netral,25,Laki-laki,Belum Menikah,SMA/SMK,1,0,1,2,8,Anak,Rp2.000.000-Rp2.999.999,Rp10.000.000-Rp10.999.999,Wirausahawan,6-8 jam,Pribadi,1-3 tahun,Tidak
95,1,Sangat tidak penting,Sangat penting,Sangat penting,Tidak penting,Sangat penting,Sangat tidak penting,Penting,Sangat penting,Sangat tidak penting,42,Laki-laki,Menikah,Sarjana,1,0,1,2,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
96,4,Penting,Penting,Penting,Penting,Penting,Penting,Penting,Penting,Penting,40,Laki-laki,Menikah,SMA/SMK,1,0,1,2,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Tidak
97,5,Penting,Penting,Penting,Penting,Penting,Penting,Netral,Penting,Tidak penting,53,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Tidak
98,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,37,Laki-laki,Menikah,SMP,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Ya
99,3,Penting,Penting,Penting,Netral,Netral,Netral,Penting,Penting,Netral,43,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Tidak
100,2,Penting,Penting,Sangat penting,Penting,Penting,Netral,Netral,Netral,Netral,26,Laki-laki,Cerai,SMA/SMK,2,0,0,2,2,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
101,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,30,Perempuan,Belum Menikah,SMP,1,0,0,1,1,Anak,Di bawah Rp1.000.000,Di bawah Rp1.000.000,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Ya
102,4,Penting,Penting,Sangat penting,Sangat penting,Sangat penting,Sangat tidak penting,Penting,Netral,Penting,43,Laki-laki,Menikah,SMA/SMK,2,0,0,2,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Wirausahawan,Di atas 10 jam,Pribadi,7-9 tahun,Ya
103,1,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Tidak penting,Tidak penting,Sangat penting,Netral,43,Perempuan,Menikah,Diploma,1,0,1,2,4,Kepala rumah tangga,Di bawah Rp1.000.000,Rp1.000.000-Rp.1.999.999,Wirausahawan,Di atas 10 jam,Pribadi,7-9 tahun,Ya
104,3,Sangat penting,Netral,Sangat penting,Netral,Netral,Penting,Netral,Netral,Netral,38,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,"Karyawan Swasta (Part-time), Wirausahawan",6-8 jam,Pribadi,1-3 tahun,Tidak
105,3,Penting,Penting,Sangat penting,Sangat penting,Netral,Sangat tidak penting,Tidak penting,Penting,Netral,44,Laki-laki,Menikah,Sarjana,1,0,1,2,5,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Karyawan Swasta (Part-time),Di atas 10 jam,Pribadi,3-5 tahun,Tidak
106,4,Penting,Penting,Penting,Penting,Penting,Netral,Netral,Tidak penting,Netral,21,Laki-laki,Belum Menikah,SMA/SMK,1,0,0,1,5,Anak,Rp2.000.000-Rp2.999.999,Rp7.000.000-Rp7.999.999,Tidak ada,8-10 jam,Pribadi,Di bawah 1 tahun,Tidak
107,3,Penting,Penting,Penting,Netral,Penting,Tidak penting,Netral,Penting,Penting,35,Laki-laki,Menikah,SMA/SMK,2,0,0,2,3,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp2.000.000-Rp2.999.999,Karyawan Swasta (Part-time),4-6 jam,Pribadi,1-3 tahun,Tidak
108,3,Penting,Penting,Sangat penting,Penting,Sangat penting,Tidak penting,Netral,Penting,Sangat penting,49,Laki-laki,Menikah,SMA/SMK,2,0,1,3,5,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp10.000.000-Rp10.999.999,"Tidak ada, Pegawai Negeri Sipil (Full-time)",Di atas 10 jam,Pribadi,5-7 tahun,Ya
109,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Penting,Sangat penting,Sangat penting,Sangat tidak penting,45,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,6-8 jam,Pribadi,5-7 tahun,Tidak
110,5,Sangat penting,Tidak penting,Sangat penting,Netral,Netral,Tidak penting,Sangat tidak penting,Penting,Netral,27,Laki-laki,Menikah,SMA/SMK,1,0,0,1,2,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp6.000.000-Rp6.999.999,Tidak ada,Di atas 10 jam,Pribadi,1-3 tahun,Tidak
111,4,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Tidak penting,Tidak penting,Penting,Penting,52,Laki-laki,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Di bawah Rp1.000.000,Rp4.000.000-Rp4.999.999,Wirausahawan,8-10 jam,Pribadi,5-7 tahun,Tidak
112,1,Sangat penting,Netral,Sangat penting,Penting,Penting,Sangat tidak penting,Penting,Penting,Penting,35,Laki-laki,Menikah,SMA/SMK,5,0,0,5,3,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp5.000.000-Rp5.999.999,Wirausahawan,6-8 jam,Pribadi,7-9 tahun,Tidak
113,2,Sangat penting,Penting,Sangat penting,Penting,Netral,Penting,Tidak penting,Sangat tidak penting,Tidak penting,62,Perempuan,Menikah,SD,1,0,0,1,4,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Ya
114,3,Sangat penting,Sangat penting,Sangat penting,Sangat tidak penting,Sangat penting,Penting,Penting,Sangat penting,Penting,54,Laki-laki,Menikah,Sarjana,3,0,0,3,5,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Lebih dari Rp.15.000.000,Karyawan Swasta (Full-time),4-6 jam,Pribadi,1-3 tahun,Tidak
115,3,Netral,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Netral,Penting,Sangat penting,Netral,30,Laki-laki,Belum Menikah,SMP,0,0,0,0,2,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp2.000.000-Rp2.999.999,"Tidak ada, Wirausahawan",8-10 jam,Sewa,1-3 tahun,Ya
116,4,Penting,Penting,Sangat penting,Sangat penting,Penting,Tidak penting,Tidak penting,Penting,Tidak penting,59,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
117,5,Penting,Netral,Sangat penting,Penting,Penting,Netral,Netral,Netral,Netral,48,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp6.000.000-Rp6.999.999,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Tidak
118,1,Sangat penting,Penting,Sangat tidak penting,Sangat penting,Sangat tidak penting,Sangat tidak penting,Netral,Sangat penting,Tidak penting,28,Perempuan,Menikah,SMA/SMK,1,0,0,1,3,Istri,Rp3.000.000-Rp3.999.999,Rp6.000.000-Rp6.999.999,Wirausahawan,8-10 jam,Pribadi,Di bawah 1 tahun,Tidak
119,2,Tidak penting,Sangat penting,Sangat penting,Netral,Sangat penting,Penting,Sangat penting,Sangat penting,Sangat penting,50,Perempuan,Menikah,SMA/SMK,3,0,1,4,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Wirausahawan,8-10 jam,Pribadi,3-5 tahun,Tidak
120,5,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Sangat tidak penting,Netral,Sangat penting,Sangat tidak penting,25,Laki-laki,Belum Menikah,SMA/SMK,1,0,0,1,1,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,Di bawah 1 tahun,Tidak
121,5,Penting,Netral,Penting,Netral,Netral,Netral,Netral,Netral,Netral,46,Laki-laki,Menikah,SMA/SMK,1,0,0,1,5,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Ya
122,2,Sangat penting,Sangat tidak penting,Sangat penting,Tidak penting,Sangat tidak penting,Sangat tidak penting,Penting,Tidak penting,Penting,45,Laki-laki,Menikah,Sarjana,4,2,3,9,5,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Lebih dari Rp.15.000.000,Karyawan Swasta (Full-time),8-10 jam,Pribadi,7-9 tahun,Tidak
123,3,Penting,Penting,Sangat penting,Sangat penting,Penting,Sangat tidak penting,Penting,Penting,Tidak penting,31,Laki-laki,Belum Menikah,SMA/SMK,1,0,0,1,1,Anak,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Tidak ada,6-8 jam,Pribadi,1-3 tahun,Tidak
124,2,Tidak penting,Tidak penting,Tidak penting,Penting,Tidak penting,Tidak penting,Tidak penting,Tidak penting,Netral,44,Laki-laki,Menikah,SD,1,0,1,2,5,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Tidak ada,8-10 jam,Pribadi,5-7 tahun,Tidak
125,2,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,33,Laki-laki,Menikah,SMA/SMK,1,1,0,2,3,Kepala rumah tangga,Rp5.000.000-Rp5.999.999,Rp5.000.000-Rp5.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
126,5,Sangat penting,Penting,Sangat penting,Sangat penting,Sangat tidak penting,Tidak penting,Penting,Netral,Penting,24,Laki-laki,Belum Menikah,SMA/SMK,1,0,0,1,1,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
127,2,Netral,Tidak penting,Penting,Sangat penting,Sangat tidak penting,Tidak penting,Netral,Sangat penting,Sangat tidak penting,47,Laki-laki,Menikah,SD,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Wirausahawan,6-8 jam,Pribadi,5-7 tahun,Tidak
128,3,Sangat penting,Penting,Netral,Tidak penting,Netral,Tidak penting,Sangat penting,Penting,Sangat penting,30,Laki-laki,Menikah,SMP,1,0,0,1,3,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Ya
129,4,Tidak penting,Penting,Penting,Sangat penting,Tidak penting,Tidak penting,Tidak penting,Netral,Tidak penting,25,Laki-laki,Menikah,SMA/SMK,1,0,1,2,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Wirausahawan,6-8 jam,Pribadi,Di bawah 1 tahun,Tidak
130,5,Sangat penting,Sangat penting,Sangat penting,Netral,Netral,Netral,Penting,Penting,Sangat penting,52,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Tidak
131,3,Netral,Sangat penting,Sangat penting,Sangat penting,Tidak penting,Sangat tidak penting,Tidak penting,Sangat penting,Sangat tidak penting,34,Perempuan,Menikah,SMA/SMK,1,0,0,1,3,Kepala rumah tangga,Di bawah Rp1.000.000,Di bawah Rp1.000.000,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
132,2,Tidak penting,Penting,Penting,Penting,Penting,Penting,Penting,Penting,Penting,62,Laki-laki,Duda,SD,1,0,0,1,4,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Ya
133,4,Penting,Sangat penting,Sangat penting,Sangat penting,Tidak penting,Sangat tidak penting,Tidak penting,Sangat penting,Netral,55,Laki-laki,Menikah,SMA/SMK,2,0,0,2,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp6.000.000-Rp6.999.999,Tidak ada,Di atas 10 jam,Pribadi,1-3 tahun,Tidak
134,5,Penting,Penting,Penting,Sangat penting,Netral,Tidak penting,Penting,Penting,Penting,41,Perempuan,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
135,4,Sangat penting,Sangat penting,Sangat penting,Sangat penting,Netral,Sangat tidak penting,Penting,Penting,Sangat penting,20,Laki-laki,Belum Menikah,SMA/SMK,6,1,1,8,6,Anak,Rp1.000.000-Rp.1.999.999,Lebih dari Rp.15.000.000,Wirausahawan,2-4 jam,Pribadi,Di bawah 1 tahun,Tidak
136,2,Penting,Penting,Sangat penting,Penting,Netral,Netral,Netral,Sangat penting,Sangat penting,51,Laki-laki,Menikah,SMP,1,0,0,1,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp4.000.000-Rp4.999.999,Karyawan Swasta (Full-time),8-10 jam,Pribadi,5-7 tahun,Tidak
137,3,Penting,Netral,Sangat penting,Penting,Penting,Tidak penting,Sangat penting,Netral,Netral,42,Laki-laki,Menikah,SMP,1,0,1,2,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Wirausahawan,2-4 jam,Pribadi,1-3 tahun,Tidak
138,2,Sangat penting,Penting,Sangat penting,Penting,Penting,Netral,Penting,Sangat penting,Penting,32,Perempuan,Belum Menikah,SMA/SMK,1,0,0,1,5,Anak,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,8-10 jam,Pribadi,3-5 tahun,Tidak
139,3,Penting,Netral,Sangat penting,Penting,Penting,Sangat tidak penting,Sangat tidak penting,Penting,Penting,23,Laki-laki,Menikah,SD,3,0,0,3,3,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Wirausahawan,2-4 jam,Pribadi,1-3 tahun,Tidak
140,2,Penting,Netral,Sangat penting,Penting,Netral,Sangat tidak penting,Penting,Sangat penting,Tidak penting,48,Laki-laki,Menikah,SD,2,0,2,4,3,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp6.000.000-Rp6.999.999,Wirausahawan,Di atas 10 jam,Pribadi,3-5 tahun,Tidak
141,2,Penting,Penting,Penting,Penting,Tidak penting,Netral,Tidak penting,Penting,Tidak penting,32,Laki-laki,Menikah,SMP,2,0,0,2,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp6.000.000-Rp6.999.999,Karyawan Swasta (Full-time),2-4 jam,Pribadi,5-7 tahun,Tidak
142,3,Netral,Netral,Netral,Sangat penting,Netral,Netral,Netral,Netral,Netral,55,Laki-laki,Menikah,Diploma,1,0,0,1,5,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp4.000.000-Rp4.999.999,"Tidak ada, Wirausahawan",8-10 jam,Pribadi,7-9 tahun,Tidak
143,2,Netral,Sangat tidak penting,Sangat penting,Netral,Tidak penting,Sangat tidak penting,Sangat tidak penting,Sangat penting,Sangat tidak penting,32,Laki-laki,Menikah,SMA/SMK,2,0,1,3,6,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Wirausahawan,Di atas 10 jam,Pribadi,1-3 tahun,Tidak
144,4,Penting,Netral,Sangat penting,Sangat penting,Penting,Sangat tidak penting,Netral,Penting,Tidak penting,32,Laki-laki,Menikah,SMA/SMK,4,0,0,4,3,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp5.000.000-Rp5.999.999,Karyawan Swasta (Full-time),8-10 jam,Pribadi,1-3 tahun,Tidak
145,4,Penting,Penting,Penting,Penting,Penting,Penting,Penting,Penting,Penting,45,Laki-laki,Menikah,SMA/SMK,1,0,0,1,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp3.000.000-Rp3.999.999,Karyawan Swasta (Full-time),4-6 jam,Pribadi,1-3 tahun,Tidak
146,1,Penting,Penting,Penting,Penting,Penting,Penting,Penting,Penting,Penting,31,Laki-laki,Menikah,SMP,1,0,0,1,5,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Tidak
147,1,Sangat penting,Sangat penting,Sangat penting,Penting,Sangat penting,Netral,Netral,Netral,Netral,27,Laki-laki,Menikah,Diploma,1,0,0,1,3,Kepala rumah tangga,Rp6.000.000-Rp6.999.999,Rp6.000.000-Rp6.999.999,Tidak ada,Di atas 10 jam,Pribadi,1-3 tahun,Tidak
148,3,Netral,Penting,Sangat penting,Tidak penting,Penting,Netral,Penting,Sangat penting,Netral,31,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,8-10 jam,Pribadi,Di bawah 1 tahun,Tidak
149,3,Tidak penting,Penting,Sangat penting,Penting,Penting,Tidak penting,Penting,Sangat penting,Sangat penting,45,Laki-laki,Cerai,Diploma,1,0,0,1,1,Kepala rumah tangga,Rp6.000.000-Rp6.999.999,Rp6.000.000-Rp6.999.999,Tidak ada,8-10 jam,Pribadi,7-9 tahun,Tidak
150,3,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,25,Laki-laki,Belum Menikah,Diploma,1,0,0,1,3,Anak,Rp1.000.000-Rp.1.999.999,Rp9.000.000-Rp9.999.999,Mahasiswa,2-4 jam,Pribadi,1-3 tahun,Tidak
151,4,Penting,Penting,Sangat penting,Sangat tidak penting,Penting,Netral,Tidak penting,Sangat penting,Sangat tidak penting,36,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Tidak
152,3,Sangat penting,Netral,Penting,Tidak penting,Netral,Netral,Tidak penting,Penting,Tidak penting,44,Laki-laki,Menikah,SMA/SMK,2,0,0,2,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp5.000.000-Rp5.999.999,Karyawan Swasta (Full-time),4-6 jam,Pribadi,3-5 tahun,Tidak
153,2,Netral,Netral,Sangat penting,Tidak penting,Netral,Tidak penting,Tidak penting,Penting,Sangat tidak penting,31,Laki-laki,Menikah,SMA/SMK,1,0,0,1,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Ya
154,3,Penting,Penting,Penting,Penting,Tidak penting,Tidak penting,Tidak penting,Penting,Netral,42,Laki-laki,Menikah,SMA/SMK,1,0,0,1,5,Kepala rumah tangga,Rp4.000.000-Rp4.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,6-8 jam,Pribadi,3-5 tahun,Tidak
155,5,Tidak penting,Tidak penting,Sangat penting,Sangat penting,Sangat penting,Tidak penting,Tidak penting,Sangat penting,Sangat penting,34,Laki-laki,Menikah,SMA/SMK,2,0,1,3,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp6.000.000-Rp6.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
156,2,Netral,Penting,Penting,Penting,Netral,Tidak penting,Penting,Sangat penting,Penting,57,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp3.000.000-Rp3.999.999,Rp3.000.000-Rp3.999.999,"Tidak ada, Wirausahawan",Di atas 10 jam,Pribadi,5-7 tahun,Ya
157,3,Penting,Tidak penting,Sangat penting,Penting,Tidak penting,Tidak penting,Tidak penting,Penting,Tidak penting,22,Laki-laki,Menikah,SMA/SMK,2,1,0,3,3,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,Di atas 10 jam,Pribadi,1-3 tahun,Tidak
158,2,Netral,Penting,Sangat penting,Netral,Netral,Penting,Tidak penting,Penting,Penting,33,Laki-laki,Menikah,SMA/SMK,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Tidak
159,2,Sangat penting,Penting,Penting,Penting,Netral,Sangat tidak penting,Netral,Sangat penting,Penting,53,Laki-laki,Menikah,SD,1,0,0,1,4,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp2.000.000-Rp2.999.999,Tidak ada,Di atas 10 jam,Pribadi,7-9 tahun,Ya
160,4,Penting,Netral,Penting,Sangat tidak penting,Tidak penting,Sangat penting,Sangat penting,Netral,Netral,38,Laki-laki,Menikah,Diploma,1,0,0,1,5,Kepala rumah tangga,Rp1.000.000-Rp.1.999.999,Rp1.000.000-Rp.1.999.999,Wirausahawan,Di atas 10 jam,Pribadi,5-7 tahun,Ya
161,1,Tidak penting,Tidak penting,Tidak penting,Netral,Tidak penting,Tidak penting,Tidak penting,Netral,Tidak penting,44,Laki-laki,Menikah,SD,0,0,0,0,5,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp4.000.000-Rp4.999.999,Tidak ada,Di atas 10 jam,Pribadi,5-7 tahun,Ya
162,2,Penting,Tidak penting,Penting,Sangat penting,Sangat tidak penting,Sangat tidak penting,Netral,Tidak penting,Tidak penting,42,Laki-laki,Menikah,SD,1,0,0,1,3,Kepala rumah tangga,Rp2.000.000-Rp2.999.999,Rp3.000.000-Rp3.999.999,Tidak ada,Di atas 10 jam,Pribadi,3-5 tahun,Ya
